"speaker_id","first_name","last_name","job_title","company_name","company_type","speaker_thumbnail","email","session_id"
"3","Boycey","Calderwood","Recruiter","Lazzy","0","binary data","bcalderwood2@icq.com",NULL
"5","Birdie","Fynn","Associate Professor","Skipstorm","YAX","binary data","bfynn4@soup.io",NULL
"7","Merwin","Cumberbatch","Environmental Tech","Devify","MRE","binary data","mcumberbatch6@cam.ac.uk",NULL
"6","Hertha","Eliesco","VP Sales","Skimia","SAZ","binary data","heliesco5@t-online.de",2
"4","Estevan","Seton","Environmental Specialist","Snaptags","TST","binary data","eseton3@4shared.com",4
"1","Giles","Plover","Technical Writer","Quatz","PIS","binary data","gplover0@latimes.com",8
"2","Xavier","Krol","Safety Technician IV","Realbuzz","BZU","binary data","xkrol1@desdev.cn",1
"8","Ludovika","McIlwreath","Automation Specialist IV","Photofeed","MUB","binary data","lmcilwreath7@163.com",1
"10","Des","Gibby","Accountant II","Skimia","SRI","binary data","dgibby9@walmart.com",3
"9","Baron","Farlane","Analog Circuit Design manager","Trilith","EDI","binary data","bfarlane8@merriam-webster.com",5
